day,energy_sum
10/12/2012,7.098
10/13/2012,11.087
10/14/2012,13.223
10/15/2012,10.257
10/16/2012,9.769
10/17/2012,10.885
10/18/2012,10.751
10/19/2012,8.431
10/20/2012,17.3779999
10/21/2012,24.4900001
10/22/2012,18.885
10/23/2012,10.485
10/24/2012,15.5370001
10/25/2012,13.128
10/26/2012,15.065
10/27/2012,16.886
10/28/2012,19.6289999
10/29/2012,12.779
10/30/2012,13.961
10/31/2012,17.8220001
11/1/2012,12.209
11/2/2012,14.554
11/3/2012,14.347
11/4/2012,14.5069999
11/5/2012,15.0949999
11/6/2012,11.663
11/7/2012,13.137
11/8/2012,0.186
11/9/2012,16.722
11/10/2012,13.245
11/11/2012,10.699
11/12/2012,12.321
11/13/2012,10.264
11/14/2012,10.82
11/15/2012,9.808
11/16/2012,13.116
11/17/2012,9.77
11/18/2012,13.779
11/19/2012,10.147
11/20/2012,11.221
11/21/2012,10.637
11/22/2012,9.44
11/23/2012,10.051
11/24/2012,11.023
11/25/2012,10.545
11/26/2012,9.876
11/27/2012,10.978
11/28/2012,10.743
11/29/2012,10.771
11/30/2012,13.088
12/1/2012,12.783
12/2/2012,15.354
12/3/2012,10.167
12/4/2012,11.143
12/5/2012,11.714
12/6/2012,11.85
12/7/2012,13.2479999
12/8/2012,13.442
12/9/2012,11.3550001
12/10/2012,10.123
12/11/2012,12.859
12/12/2012,11.971
12/13/2012,10.922
12/14/2012,10.584
12/15/2012,14.257
12/16/2012,16.497
12/17/2012,12.202
12/18/2012,10.255
12/19/2012,12.2650001
12/20/2012,11.122
12/21/2012,11.712
12/22/2012,17.932
12/23/2012,7.977
12/24/2012,4.983
12/25/2012,4.909
12/26/2012,7.65
12/27/2012,13.1460001
12/28/2012,11.157
12/29/2012,10.8
12/30/2012,11.112
12/31/2012,10.033
1/1/2013,10.8
1/2/2013,13.2999999
1/3/2013,10.074
1/4/2013,9.857
1/5/2013,11.171
1/6/2013,10.293
1/7/2013,9.439
1/8/2013,11.6400001
1/9/2013,15.259
1/10/2013,10.74
1/11/2013,10.9789999
1/12/2013,10.5859999
1/13/2013,10.36
1/14/2013,12.273
1/15/2013,9.83
1/16/2013,14.4080001
1/17/2013,9.857
1/18/2013,16.9220001
1/19/2013,15.742
1/20/2013,11.53
1/21/2013,12.4560001
1/22/2013,10.8700001
1/23/2013,10.99
1/24/2013,12.124
1/25/2013,11.26
1/26/2013,16.348
1/27/2013,11.466
1/28/2013,9.907
1/29/2013,9.886
1/30/2013,10.297
1/31/2013,9.2079999
2/1/2013,9.9529999
2/2/2013,15.097
2/3/2013,11.29
2/4/2013,8.798
2/5/2013,14.1459999
2/6/2013,14.222
2/7/2013,11.684
2/8/2013,9.635
2/9/2013,14.7460001
2/10/2013,15.871
2/11/2013,11.514
2/12/2013,10.958
2/13/2013,11.151
2/14/2013,10.042
2/15/2013,11.33
2/16/2013,10.807
2/17/2013,9.221
2/18/2013,9.563
2/19/2013,11.293
2/20/2013,10.941
2/21/2013,20.6960001
2/22/2013,24.0180002
2/23/2013,14.125
2/24/2013,19.751
2/25/2013,11.198
2/26/2013,11.1749999
2/27/2013,15.769
2/28/2013,32.6280002
3/1/2013,39.284
3/2/2013,26.292
3/3/2013,23.5800001
3/4/2013,25.4469999
3/5/2013,32.8559999
3/6/2013,16.637
3/7/2013,27.7180001
3/8/2013,18.876
3/9/2013,10.858
3/10/2013,19.191
3/11/2013,13.658
3/12/2013,16.135
3/13/2013,12.956
3/14/2013,12.286
3/15/2013,13.165
3/16/2013,12.652
3/17/2013,17.3830001
3/18/2013,13.2949998
3/19/2013,12.519
3/20/2013,14.014
3/21/2013,10.727
3/22/2013,13.524
3/23/2013,25.599
3/24/2013,15.535
3/25/2013,5.781
3/26/2013,4.985
3/27/2013,5.097
3/28/2013,4.929
3/29/2013,4.841
3/30/2013,4.931
3/31/2013,4.933
4/1/2013,4.95
4/2/2013,12.014
4/3/2013,11.421
4/4/2013,16.502
4/5/2013,14.555
4/6/2013,16.6790001
4/7/2013,13.424
4/8/2013,14.1380002
4/9/2013,13.627
4/10/2013,13.9340001
4/11/2013,13.214
4/12/2013,12.563
4/13/2013,25.958
4/14/2013,12.6310001
4/15/2013,13.937
4/16/2013,10.94
4/17/2013,9.049
4/18/2013,10.346
4/19/2013,10.303
4/20/2013,17.925
4/21/2013,13.58
4/22/2013,8.969
4/23/2013,8.225
4/24/2013,8.539
4/25/2013,9.481
4/26/2013,9.984
4/27/2013,9.625
4/28/2013,9.864
4/29/2013,7.571
4/30/2013,8.64
5/1/2013,8.069
5/2/2013,9.343
5/3/2013,8.1089999
5/4/2013,9.351
5/5/2013,8.826
5/6/2013,7.418
5/7/2013,7.607
5/8/2013,8.576
5/9/2013,8.391
5/10/2013,12.3040001
5/11/2013,10.111
5/12/2013,12.405
5/13/2013,8.2400001
5/14/2013,9.752
5/15/2013,8.34
5/16/2013,9.214
5/17/2013,9.638
5/18/2013,9.714
5/19/2013,10.747
5/20/2013,9.356
5/21/2013,10.899
5/22/2013,10.492
5/23/2013,9.423
5/24/2013,10.342
5/25/2013,9.339
5/26/2013,11.917
5/27/2013,11.161
5/28/2013,12.182
5/29/2013,11.099
5/30/2013,11.431
5/31/2013,10.098
6/1/2013,12.555
6/2/2013,12.082
6/3/2013,10.694
6/4/2013,11.065
6/5/2013,9.62
6/6/2013,9.343
6/7/2013,11.9
6/8/2013,9.598
6/9/2013,9.234
6/10/2013,8.24
6/11/2013,9.321
6/12/2013,9.375
6/13/2013,8.629
6/14/2013,8.761
6/15/2013,13.881
6/16/2013,11.62
6/17/2013,12.253
6/18/2013,10.138
6/19/2013,11.27
6/20/2013,8.717
6/21/2013,10.748
6/22/2013,8.182
6/23/2013,11.157
6/24/2013,7.651
6/25/2013,9.404
6/26/2013,8.857
6/27/2013,8.69
6/28/2013,10.441
6/29/2013,8.911
6/30/2013,7.594
7/1/2013,7.806
7/2/2013,8.958
7/3/2013,9.4579999
7/4/2013,9.37
7/5/2013,9.138
7/6/2013,9.435
7/7/2013,10.61
7/8/2013,7.405
7/9/2013,5.192
7/10/2013,5.368
7/11/2013,6.046
7/12/2013,4.995
7/13/2013,11.581
7/14/2013,12.957
7/15/2013,7.356
7/16/2013,10.737
7/17/2013,9.367
7/18/2013,11.62
7/19/2013,8.511
7/20/2013,9.344
7/21/2013,8.922
7/22/2013,8.216
7/23/2013,9.527
7/24/2013,8.265
7/25/2013,9.717
7/26/2013,10.146
7/27/2013,8.831
7/28/2013,8.154
7/29/2013,6.781
7/30/2013,8.843
7/31/2013,8.495
8/1/2013,7.92
8/2/2013,8.847
8/3/2013,7.746
8/4/2013,9.085
8/5/2013,9.564
8/6/2013,8.745
8/7/2013,8.784
8/8/2013,8.303
8/9/2013,9.381
8/10/2013,8.562
8/11/2013,8.567
8/12/2013,8.021
8/13/2013,7.709
8/14/2013,9.252
8/15/2013,10.0679999
8/16/2013,9.098
8/17/2013,8.702
8/18/2013,8.464
8/19/2013,8.498
8/20/2013,8.225
8/21/2013,9.566
8/22/2013,8.019
8/23/2013,8.18
8/24/2013,8.955
8/25/2013,8.91
8/26/2013,7.899
8/27/2013,10.4
8/28/2013,7.937
8/29/2013,9.9
8/30/2013,8.046
8/31/2013,8.538
9/1/2013,8.052
9/2/2013,9.104
9/3/2013,5.722
9/4/2013,5.071
9/5/2013,5.053
9/6/2013,5.04
9/7/2013,4.783
9/8/2013,4.713
9/9/2013,4.57
9/10/2013,4.548
9/11/2013,4.995
9/12/2013,10.985
9/13/2013,12.525
9/14/2013,13.236
9/15/2013,11.626
9/16/2013,12.1569999
9/17/2013,13.629
9/18/2013,14.6100001
9/19/2013,21.969
9/20/2013,19.5629999
9/21/2013,16.2360001
9/22/2013,12.8470001
9/23/2013,12.034
9/24/2013,13.234
9/25/2013,9.384
9/26/2013,11.15
9/27/2013,8.993
9/28/2013,12.718
9/29/2013,14.694
9/30/2013,18.271
10/1/2013,20.042
10/2/2013,9.379
10/3/2013,8.072
10/4/2013,8.7069999
10/5/2013,8.687
10/6/2013,8.628
10/7/2013,9.695
10/8/2013,10.365
10/9/2013,10.074
10/10/2013,11.084
10/11/2013,11.654
10/12/2013,5.909
10/13/2013,14.1359999
10/14/2013,10.46
10/15/2013,20.3719998
10/16/2013,22.108
10/17/2013,16.0869999
10/18/2013,16.662
10/19/2013,13.422
10/20/2013,18.6009999
10/21/2013,12.294
10/22/2013,11.088
10/23/2013,9.155
10/24/2013,9.258
10/25/2013,13.6860001
10/26/2013,11.677
10/27/2013,10.011
10/28/2013,15.1800002
10/29/2013,11.762
10/30/2013,10.397
10/31/2013,9.519
11/1/2013,9.384
11/2/2013,13.3119999
11/3/2013,16.2
11/4/2013,9.736
11/5/2013,21.503
11/6/2013,11.627
11/7/2013,11.834
11/8/2013,26.19
11/9/2013,12.202
11/10/2013,25.556
11/11/2013,28.6589998
11/12/2013,18.2590001
11/13/2013,12.27
11/14/2013,12.202
11/15/2013,13.78
11/16/2013,9.943
11/17/2013,9.094
11/18/2013,10.364
11/19/2013,11.045
11/20/2013,16.814
11/21/2013,11.7300001
11/22/2013,11.528
11/23/2013,11.214
11/24/2013,14.341
11/25/2013,9.56
11/26/2013,10.631
11/27/2013,11.003
11/28/2013,10.513
11/29/2013,11.51
11/30/2013,7.858
12/1/2013,12.918
12/2/2013,9.061
12/3/2013,14.6409999
12/4/2013,17.015
12/5/2013,10.495
12/6/2013,14.649
12/7/2013,11.7599999
12/8/2013,18.28
12/9/2013,11.522
12/10/2013,12.882
12/11/2013,12.935
12/12/2013,12.897
12/13/2013,12.486
12/14/2013,11.4320001
12/15/2013,12.214
12/16/2013,12.406
12/17/2013,18.4770001
12/18/2013,14.436
12/19/2013,12.0730001
12/20/2013,13.171
12/21/2013,11.247
12/22/2013,12.025
12/23/2013,6.721
12/24/2013,4.781
12/25/2013,4.65
12/26/2013,4.706
12/27/2013,9.122
12/28/2013,13.6579999
12/29/2013,14.982
12/30/2013,15.082
12/31/2013,13.746
1/1/2014,15.496
1/2/2014,14.195
1/3/2014,11.382
1/4/2014,16.1759999
1/5/2014,14.418
1/6/2014,14.302
1/7/2014,16.492
1/8/2014,13.079
1/9/2014,14.5769999
1/10/2014,14.9639999
1/11/2014,14.466
1/12/2014,16.034
1/13/2014,18.2660001
1/14/2014,18.532
1/15/2014,19.011
1/16/2014,15.802
1/17/2014,14.894
1/18/2014,12.371
1/19/2014,14.8
1/20/2014,12.486
1/21/2014,16.025
1/22/2014,14.1159999
1/23/2014,12.585
1/24/2014,14.54
1/25/2014,14.039
1/26/2014,24.04
1/27/2014,22.6290001
1/28/2014,13.921
1/29/2014,20.3039999
1/30/2014,14.166
1/31/2014,21.5740001
2/1/2014,11.425
2/2/2014,27.2720002
2/3/2014,17.468
2/4/2014,24.363
2/5/2014,17.018
2/6/2014,13.3520001
2/7/2014,16.663
2/8/2014,17.172
2/9/2014,12.657
2/10/2014,10.846
2/11/2014,15.586
2/12/2014,13.812
2/13/2014,11.723
2/14/2014,13.497
2/15/2014,12.57
2/16/2014,21.94
2/17/2014,12.917
2/18/2014,17.0660001
2/19/2014,14.997
2/20/2014,11.876
2/21/2014,13.083
2/22/2014,12.734
2/23/2014,14.886
2/24/2014,12.528
2/25/2014,11.826
2/26/2014,12.328
2/27/2014,20.518
2/28/2014,1.387
